V2,V1
54.97,38.03
55.12,37.82
55.38,37.22
55.4,36.69
55.26,36.58
55.03,36.39
55.03,36.09
55.09,35.94
55.17,35.73
55.38,35.52
55.24,35.38
53.74,34.81
53.01,34.6
52.39,34.88
51.33,35.34
50.41,35.56
49.35,35.61
48.78,36
47.33,37.17
46.57,37.89
45.95,38.12
45.51,38.21
45.19,38.12
44.08,37.61
43.37,38.07
42.82,38.16
42,38.19
42.11,41.86
44.93,41.87
45.28,41.76
48.62,40.13
49.54,39.47
49.6,39.26
49.6,39.09
49.46,38.71
49.31,38.22
49.37,38.13
49.57,37.96
50.15,37.78
50.38,37.61
51.14,37.26
51.86,36.88
52.12,36.91
52.53,37.09
53.31,37.41
54.36,37.7
54.97,38.03
