V2,V1
55.09,35.94
55.71,36.21
56.41,36.4
56.92,36.39
57.41,36.27
58.74,35.7
60.15,35.15
60.92,34.66
60.91,29.87
63.41,27.31
58.49,27.35
58.21,27.38
58.14,27.48
57.96,28.08
57.77,28.36
57.6,28.51
57.45,28.57
57.06,28.63
56.72,28.59
56.63,28.41
56.5,28.34
56.22,28.38
54.79,29.17
54.4,29.42
54.3,29.58
54.16,29.99
54.06,30.22
53.29,30.65
52.36,31.1
51.24,32
49.74,33.2
48.18,34.43
47.77,34.8
47.35,34.9
46.91,35.08
45.25,36.74
44.47,37.35
44.08,37.61
45.19,38.12
45.51,38.21
45.95,38.12
46.57,37.89
47.33,37.17
48.78,36
49.35,35.61
50.41,35.56
51.33,35.34
52.39,34.88
53.01,34.6
53.74,34.81
55.24,35.38
55.38,35.52
55.17,35.73
55.09,35.94
