V2,V1
44.08,37.61
44.47,37.35
45.25,36.74
46.91,35.08
47.35,34.9
47.77,34.8
48.18,34.43
49.74,33.2
51.24,32
52.36,31.1
53.29,30.65
54.06,30.22
54.16,29.99
54.3,29.58
54.4,29.42
54.79,29.17
56.22,28.38
56.5,28.34
56.63,28.41
56.72,28.59
57.06,28.63
57.45,28.57
57.6,28.51
56.46,26.94
55.79,26.5
55.31,26.24
54.76,26.25
54.06,26.39
53.4,26.68
52.24,27.31
51.51,27.66
51.26,27.9
50.89,28.68
50.09,30.02
49.77,30.5
48.95,31.08
47.39,32.02
46.16,32.79
45.52,33.33
45.14,33.72
44.18,34.82
43.62,35.25
42.97,35.64
42.1,36.19
41.99,36.32
42,38.19
42.82,38.16
43.37,38.07
44.08,37.61
