"date"	"time"	"long"	"lat"	"mag"
"1990-04-11"	"20:18:52.00"	"56.9300"	"37.3400"	"4.4"
"1990-04-14"	"19:58:13.00"	"56.2600"	"37.8100"	"4.7"
"1990-08-18"	"09:51:41.00"	"56.2740"	"37.0640"	"5.1"
"1991-02-04"	"23:37:14.00"	"61.0000"	"35.8000"	"4.6"
"1991-04-01"	"03:40:18.00"	"57.4100"	"37.3200"	"4.7"
"1991-05-24"	"12:59:06.00"	"58.6990"	"37.1170"	"4.9"
"1991-05-24"	"16:26:23.00"	"58.5000"	"37.1000"	"4.0"
"1991-11-25"	"10:39:00.00"	"55.6730"	"37.1130"	"4.8"
"1992-05-31"	"16:39:23.00"	"55.8000"	"38.7400"	"4.4"
"1992-08-29"	"07:23:01.00"	"56.4540"	"37.5330"	"4.9"
"1992-09-09"	"19:27:35.00"	"57.2300"	"37.4200"	"4.5"
"1992-11-06"	"08:57:21.00"	"56.5880"	"38.4250"	"5.1"
"1992-11-27"	"21:09:17.00"	"59.9110"	"37.4960"	"5.3"
"1993-01-06"	"17:16:53.00"	"57.5010"	"37.4740"	"5.0"
"1993-02-18"	"04:15:03.00"	"57.8000"	"37.7300"	"4.6"
"1993-05-02"	"04:26:36.00"	"55.4860"	"38.9360"	"4.7"
"1993-08-04"	"19:46:09.00"	"57.9500"	"36.9000"	"4.4"
"1994-11-16"	"10:09:55.00"	"57.0000"	"38.5000"	"4.9"
"1994-11-21"	"11:46:25.00"	"56.9630"	"38.2900"	"5.4"
"1995-02-21"	"04:49:51.00"	"54.2800"	"39.4000"	"4.2"
"1995-06-14"	"05:42:31.00"	"58.6300"	"36.5500"	"4.9"
"1995-11-09"	"05:10:29.00"	"59.8870"	"35.6920"	"5.0"
"1997-01-11"	"13:32:33.00"	"54.4100"	"39.5260"	"4.8"
"1997-02-04"	"09:53:56.00"	"57.2680"	"37.6490"	"5.4"
"1997-02-04"	"10:37:51.00"	"57.3090"	"37.7190"	"6.5"
"1997-02-04"	"10:52:37.00"	"57.1190"	"37.9200"	"4.0"
"1997-02-04"	"12:34:55.00"	"57.3140"	"37.6100"	"5.2"
"1997-02-04"	"14:46:56.00"	"57.9640"	"38.1300"	"4.0"
"1997-02-04"	"21:04:09.00"	"57.2230"	"37.7830"	"4.8"
"1997-02-05"	"03:53:02.00"	"56.6600"	"37.9580"	"4.4"
"1997-02-05"	"07:53:45.00"	"57.4800"	"37.5780"	"5.2"
"1997-02-06"	"20:47:49.00"	"57.1930"	"37.7260"	"4.3"
"1997-02-06"	"21:20:38.00"	"57.2660"	"37.7680"	"4.4"
"1997-02-18"	"18:01:35.00"	"57.3770"	"37.7170"	"4.8"
"1997-02-22"	"01:17:51.00"	"56.8130"	"37.1450"	"4.0"
"1997-02-23"	"13:22:44.00"	"58.7260"	"36.7260"	"4.2"
