"date"	"time"	"long"	"lat"	"mag"
"1990-03-22"	"17:53:23.00"	"57.4200"	"28.2600"	"4.9"
"1990-03-25"	"22:37:32.00"	"57.9300"	"27.8200"	"4.5"
"1990-04-11"	"18:38:30.00"	"62.9600"	"25.4100"	"4.0"
"1990-06-17"	"04:51:46.00"	"65.7070"	"27.4160"	"6.1"
"1990-06-17"	"17:17:44.00"	"65.6210"	"27.4010"	"5.5"
"1990-07-26"	"06:53:57.00"	"65.5760"	"27.3500"	"5.9"
"1990-09-26"	"20:16:24.00"	"57.4800"	"26.9000"	"4.6"
"1991-01-19"	"10:08:21.00"	"60.8300"	"26.1400"	"4.9"
"1991-08-08"	"11:12:38.00"	"65.9100"	"26.8780"	"5.0"
"1991-12-07"	"14:22:33.00"	"62.9710"	"25.1530"	"5.6"
"1991-12-19"	"18:55:21.00"	"57.2680"	"28.0330"	"5.4"
"1992-05-21"	"02:02:09.00"	"57.8000"	"25.3000"	"4.6"
"1992-07-27"	"09:48:38.00"	"57.9300"	"28.0600"	"4.4"
"1992-08-05"	"11:15:04.00"	"63.4100"	"27.2000"	"4.5"
"1992-12-17"	"10:39:29.00"	"61.4460"	"25.9030"	"5.7"
"1993-03-14"	"21:23:17.00"	"57.9600"	"26.7000"	"4.8"
"1993-04-24"	"20:30:10.00"	"57.8800"	"27.1000"	"4.9"
"1993-05-02"	"16:12:04.00"	"57.8500"	"27.0100"	"4.6"
"1993-05-29"	"21:11:16.00"	"65.0340"	"26.4840"	"4.5"
"1993-11-01"	"06:42:03.00"	"57.4000"	"27.9000"	"4.4"
"1993-11-01"	"06:46:35.00"	"57.5500"	"28.2000"	"4.7"
"1993-11-11"	"09:13:04.00"	"63.3400"	"25.2700"	"5.1"
"1993-12-19"	"11:45:31.00"	"62.5740"	"25.2410"	"5.4"
"1994-03-03"	"14:56:51.00"	"57.4700"	"27.5000"	"4.8"
"1994-11-01"	"08:25:16.00"	"57.5360"	"27.3480"	"5.1"
"1994-12-11"	"12:15:59.00"	"64.9430"	"27.8860"	"5.1"
"1995-01-29"	"18:08:08.00"	"57.4500"	"27.9400"	"4.5"
"1995-07-31"	"09:29:25.00"	"65.6000"	"26.9200"	"4.2"
"1995-11-06"	"03:53:23.00"	"57.4910"	"27.7610"	"5.1"
"1995-12-21"	"07:39:02.00"	"57.2500"	"27.7100"	"4.2"
"1995-12-27"	"19:35:56.00"	"57.5200"	"27.6400"	"4.4"
"1996-01-05"	"15:50:32.00"	"63.5760"	"26.2310"	"4.2"
"1996-01-18"	"19:10:31.00"	"56.7920"	"26.3570"	"4.0"
"1996-09-18"	"14:36:41.00"	"60.9580"	"25.9790"	"4.9"
"1996-09-28"	"13:54:02.00"	"57.5350"	"28.4090"	"4.8"
"1996-11-06"	"02:07:47.00"	"65.0480"	"25.8560"	"4.2"
"1996-11-18"	"09:26:05.00"	"57.5400"	"27.6660"	"5.3"
"1996-11-18"	"13:31:30.00"	"57.5650"	"27.9220"	"4.2"
"1996-12-21"	"13:52:19.00"	"58.8550"	"26.0320"	"4.0"
"1997-01-21"	"05:55:59.00"	"64.8020"	"25.4620"	"4.2"
"1997-01-24"	"17:12:58.00"	"57.5350"	"28.1640"	"4.5"
"1997-02-11"	"18:42:29.00"	"57.6300"	"28.1050"	"4.5"
"1997-03-23"	"07:15:38.00"	"64.4240"	"26.2410"	"4.8"
"1997-07-17"	"07:09:23.00"	"60.4230"	"26.5700"	"4.2"
"1997-08-28"	"12:11:33.00"	"62.3340"	"25.2730"	"4.7"
"1997-09-16"	"16:43:23.00"	"57.5630"	"28.0920"	"4.3"
"1998-03-05"	"11:12:02.00"	"59.3600"	"25.6120"	"4.4"
"1998-05-28"	"20:32:46.00"	"62.1690"	"26.5590"	"4.9"
"1998-12-09"	"21:36:59.00"	"57.5250"	"28.2940"	"4.2"
"1999-01-25"	"00:54:52.00"	"57.3780"	"28.1430"	"4.5"
"1999-03-12"	"07:59:32.00"	"57.5150"	"27.5450"	"4.0"
"1999-05-28"	"11:37:32.00"	"57.6020"	"28.2860"	"4.5"
"1999-08-18"	"17:30:53.00"	"59.6640"	"26.5580"	"4.7"
"1999-11-01"	"07:52:34.00"	"61.5680"	"26.7820"	"4.2"
"2000-01-26"	"06:17:06.00"	"57.3800"	"26.2030"	"4.0"
"2000-04-16"	"06:30:12.00"	"61.7390"	"27.1250"	"4.3"
"2000-08-21"	"22:20:29.00"	"57.2600"	"28.0200"	"4.3"
"2000-11-11"	"18:16:01.00"	"57.7030"	"28.3100"	"4.3"
"2000-11-24"	"09:18:14.00"	"57.6720"	"28.0760"	"4.3"
"2001-08-04"	"14:07:47.00"	"61.4650"	"24.9870"	"4.5"
"2001-08-11"	"19:10:29.00"	"64.5200"	"25.3100"	"4.5"
"2001-08-12"	"11:03:25.00"	"57.6900"	"27.5230"	"4.6"
"2001-11-01"	"19:54:37.00"	"57.4530"	"28.1260"	"4.2"
"2001-11-22"	"17:00:00.00"	"57.4710"	"27.7460"	"4.5"
"2002-03-11"	"04:55:15.00"	"58.0730"	"25.0310"	"4.4"
"2002-03-15"	"22:46:39.00"	"57.3300"	"27.6700"	"4.4"
"2002-06-02"	"20:08:23.00"	"57.6660"	"27.8210"	"4.9"
"2002-06-02"	"20:17:26.00"	"57.7290"	"27.9680"	"5.0"
"2002-06-03"	"20:17:30.00"	"63.5000"	"25.5000"	"4.9"
"2003-02-28"	"12:52:02.00"	"57.6200"	"28.2200"	"4.3"
"2003-03-25"	"01:33:53.00"	"65.1600"	"27.7020"	"4.4"
"2003-05-15"	"06:34:15.00"	"62.1000"	"25.8300"	"4.4"
"2003-06-13"	"02:55:46.00"	"57.4500"	"28.1100"	"4.5"
"2003-06-24"	"06:52:49.00"	"61.0090"	"27.2960"	"5.5"
"2003-07-06"	"16:04:19.00"	"57.7200"	"27.9710"	"5.0"
"2004-01-21"	"13:22:51.00"	"57.5300"	"28.0000"	"4.5"
"2004-01-27"	"15:05:27.00"	"57.2400"	"26.9600"	"4.2"
"2004-01-28"	"09:06:47.00"	"57.4580"	"26.8690"	"5.2"
"2004-01-28"	"09:33:30.00"	"57.3700"	"26.9400"	"4.6"
